100000100010000001000000000100010000	000000011000001100000001000000000001	30	1	9	1	BLACK	0.48994
000000000000110000000000000000000000	100000000100000000000000000000000000	14	1	11	1	BLACK	0.40617
000000000000011000000101000000000100	000100000000100100010000000000000000	11	-1	5	1	WHITE	0.46456
000110000001000000010111000000101000	010001000010110000001000100100000000	14	0	15	0	WHITE	0.45628
000101000000000000101000100000000000	000000000000010000000111000000000000	4	0	14	1	WHITE	0.47205
100000001010100000000101000000110000	000110000001000100001010000010000000	5	-1	2	-1	WHITE	0.48565
000001001000000100000000000000001001	001010000001100000000000000000000000	25	1	10	1	WHITE	0.46018
000001001000000100000000000000001001	001010000001100000000000010000000000	14	1	24	1	BLACK	0.48691
000001001000010100000001000000001001	001010000001101000000000010000000000	3	-1	20	-1	WHITE	0.43869
000001001000010100000001000000001001	001010000001101000010000010000000000	7	1	3	1	BLACK	0.54443
000001001000010100000001000000011001	001010000001101000010000010000000000	7	1	3	1	WHITE	0.41565
000001001000010100000001000000011001	001110000001101000010000010000000000	7	1	27	-1	BLACK	0.42799
000010010001000000000101100000100001	000101101000001010000010000000001000	31	1	15	0	BLACK	0.61449
000010010001100000000101100000100001	000101101000001010000010000000001000	15	-1	13	1	WHITE	0.40751
010000000100000000110000000100000000	101100000000000010000000000000100000	21	-1	20	-1	WHITE	0.40171
000010000000000000000000000010000010	100100000000000000000000000100000000	12	1	14	1	BLACK	0.41659
000010000000001000000000000011010010	100100000000000000000010100100100000	21	0	32	1	BLACK	0.41427
000011000001010000000010000001100000	110000000000000000000100000100010001	18	1	3	1	WHITE	0.44485
001110000000111000000000000000000100	010001000001000100000001100000001000	21	1	22	-1	BLACK	0.44185
000000000000010000000110000000000000	000000000000000000000000000000011000	33	-1	30	-1	WHITE	0.41869
000000000000110000000000000010000000	000000000000001000000010000000000000	4	0	30	0	WHITE	0.41639
000000000001110000000000000010000000	000001000010001000000010000000000000	21	0	30	-1	BLACK	0.43137
000000000001110000011000000010000000	000011000010001000000010000000000000	3	-1	6	-1	WHITE	0.41216
000000000000000000001010100000001000	001000000000000000100101000000000000	31	1	14	1	BLACK	0.4139
000000000000001000001010100000001000	001010000000000000100101000000000000	30	1	16	1	BLACK	0.57133
000010000000001000000110000000000000	000000000000100000001000000000100000	10	-1	31	1	WHITE	0.44362
000010000001001000000110000001000000	000000000000100000001000100000110000	32	0	13	0	WHITE	0.42112
000010000000110000000101000001000000	001101000001000000001000000000000000	22	0	19	0	WHITE	0.41021
000010000000110000000101000001010000	001101000001000000001010000000100000	15	1	14	0	BLACK	0.42546
000000000001010000001001000000101000	001100000000100000000110000000000000	4	-1	5	0	WHITE	0.50016
000000000000110000000001000000010000	000100000001000000000100000000000000	19	-1	27	1	WHITE	0.46008
