subject_index,color,Game_theoretic_value,Confirmed,0_pieces,1_pieces,value_Zeyan ,confirmed_Zeyan
1,1,0,0,16777216,0,0,0
0,0,0,0,16777216,8,0,0
1,1,0,0,25165824,8,0,0
0,0,0,0,25165824,4194312,0,0
1,1,0,0,25198592,4194312,1,1
0,0,1,1,25198592,37748744,1,1
1,1,1,1,25214976,37748744,1,1
0,0,1,1,25214976,37814280,1,1
1,1,1,1,25215040,37814280,1,1
0,0,1,1,25215040,8627748872,1,1
1,1,1,1,25215168,8627748872,1,1
0,0,1,1,25215168,10775232520,1,1
1,1,1,1,25215200,10775232520,1,1
0,0,1,1,25215200,15070199816,1,1
1,0,0,0,0,0,0,0
0,1,0,0,32768,0,0,0
1,0,0,0,32768,2097152,0,0
0,1,0,0,34816,2097152,0,0
1,0,0,0,34816,6291456,0,0
0,1,0,0,1083392,6291456,0,0
1,0,0,0,1083392,6291464,1,1
0,1,0,0,1087488,6291464,1,1
1,0,0,0,1087488,6299656,1,1
0,1,0,0,9476096,6299656,1,1
1,0,0,0,9476096,6299672,1,1
0,1,0,0,2156959744,6299672,1,1
1,0,0,0,2156959744,6299800,1,1
0,1,-1,1,2693830656,6299800,-1,1
1,0,1,1,2693830656,6299832,1,1
0,1,-1,1,2693830720,6299832,-1,1
0,0,0,0,0,0,0,0
1,1,0,0,16777216,0,0,0
0,0,0,0,16777216,4096,0,0
1,1,0,0,25165824,4096,0,0
0,0,0,0,25165824,4198400,0,0
1,1,0,0,25198592,4198400,1,1
0,0,1,1,25198592,37752832,1,1
1,1,0,0,25198624,37752832,1,1
0,0,1,1,25198624,37769216,1,1
1,1,1,1,25198688,37769216,1,1
0,0,1,1,25198688,8627703808,1,1
1,1,1,1,25198816,8627703808,1,1
0,0,1,1,25198816,10775187456,1,1
1,0,0,0,0,0,0,0
0,1,0,0,64,0,0,0
1,0,0,0,64,2097152,0,0
0,1,0,0,96,2097152,0,0
1,0,0,0,96,2097168,0,0
0,1,0,0,104,2097168,-1,1
1,0,0,0,104,2105360,0,0
0,1,0,0,4194408,2105360,0,0
1,0,0,0,4194408,2107408,1,1
0,1,0,0,4198504,2107408,0,0
1,0,1,1,4198504,538978320,1,1
0,1,0,0,4198506,538978320,0,0
1,0,1,1,4198506,807413776,1,1
0,1,1,1,4198510,807413776,1,1
1,0,1,1,4198510,807413777,1,1
0,0,0,0,0,0,0,0
1,1,0,0,16384,0,0,0
0,0,0,0,16384,8,0,0
1,1,0,0,49152,8,0,0
0,0,0,0,49152,8200,0,0
1,1,0,0,8589983744,8200,0,0
0,0,1,1,8589983744,532488,1,1
1,1,1,1,8606760960,532488,1,1
0,0,0,0,8606760960,532552,1,1
1,1,-1,1,25786630144,532552,-1,1
